,CEO,Company Name,Company website,Email,Emp_range,Founded Date,Location,Long_description,Phone,Short_description,Tags,e27_url
118,Edward Senju,Sansan,https://www.sansan.com/,,,June 2007,Japan,"Sansan provides a internal contact sharing service for companies called “Sansan” under the concept of “share the contacts your team has, just by scanning the cards they receive.”

With Sansan, they can easily share the record of everyone they have met with everyone on their team.

Sansan is the No.1 business card management and contact sharing service with over 1,500 company users, and is a winner of ""the U.S. Ambassador's Award"" sponsored by U.S. Embassy in Japan.

Since its founding in 2007, Sansan has focused on delivering its cloud based contact management service to customers in Japan and beyond. Sansan's business card transcription service and cloud-based collaborative contact management software has empowered businesses to leverage and share their network as a team, enhancing productivity and unlocking new opportunities. Sansan is based in Tokyo, Japan.",,"Sansan provides a internal contact sharing service for companies called “Sansan” under the concept of “share the contacts your team has, just by scanning the cards they receive.”",Big Data Mobile Enterprise Solution Software as a Service,https://e27.co/startups/sansan
119,,Terra.do,https://terra.do/,,,January 2020,India,"We're an online climate school aiming to solve #climatechange. 

Learn: We select extremely motivated individuals like you who're already skilled in their fields for our 12-week online program. We bring the world's top experts to teach you all aspects of climate - science, policy, business, social justice.  

Meet: During the program, you become part of a global community of hundreds of climate changemakers. You form study groups, hang out in video calls with alumni and have lifetime access to this network. These are your future co-founders, employers, comrades.

Do: On graduating, you see dozens of projects from some of the top climate organizations in the world. Choose those that best leverage your skills. Team up with community and work directly on challenging problems to solve #climatechange",,We're an online climate school aiming to solve #climatechange.,Education,https://e27.co/startups/terra-do
120,Yatir Zaluski,ConfirmU,http://confirmu.com/,,,May 2018,Israel,"Confirmu is a Fintech AI startup that enables lenders to underwrite consumers/SME's with no credit history or limited thin file using game quests over that gives the lenders indication of the borrowers intent to repay back loans.
The game is a 2 minutes interaction which is part of the borrowers loan application journey.
The major differentiators from our competitors is its fast (only 2 minutes and less) , bias free and non intrusive.",,Confirmu is a Fintech AI startup that enables lenders to underwrite consumers/SME's with no credit history or limited thin file using game quests,Artificial Intelligence Finance Gaming Insurtech,https://e27.co/startups/confirmu
121,,See-mode,https://www.see-mode.com/,,,Not Specified,Singapore,"At See-Mode, they empower clinicians to predict strokes and save lives. Their interdisciplinary platform combines: Computer Vision, Artificial Intelligence and Computational Fluid Dynamics.

See-Mode’s suite of medical software enables doctors to obtain critical stroke risk factors that are currently inaccessible in clinical practice.

This is achieved by analyzing routinely collected ultrasound, CT, or MRI images without needing additional imaging or changing the existing workflow.",,"At See-Mode, they empower clinicians to predict strokes and save lives. Their interdisciplinary platform combines: Computer Vision, Artificial Intelligence and Computational Fluid Dynamics.",Healthtech Medtech,https://e27.co/startups/see-mode
122,"Elom Agbavitor,Camille Van Tornhout,Camille Van Tornhout",Mojob App,https://mojob.app/,,,September 2019,Cambodia,"Mojob is a company that provides local services on-demand via a mobile app in Cambodia. 
The premise behind Mojob app is to connect local service providers with customers and giving customers choice from multiple merchants.
Get better pricing and SAVE money!
Get organized and MAKE money!
SHARE the culture and support local businesses in your community!",,Mojob App is a marketplace that connect individuals and professionals to render services,Marketplace E-commerce,https://e27.co/startups/mojob-app
123,"Raymond Min,Ross Kim,Erwan Le Guisquet,Ross Kim,Erwan Le Guisquet,Erwan Le Guisquet",CID AUTO,https://www.sucartv.co.kr/,,,October 2015,South Korea,"The amount of unbalanced information between buyers and suppliers in the used-car industry is overwhelming. At the technical limitations of dealers’ platform providers, product information is unclear and inadequate. Thus, buyers prefer purchasing used cars offline. Likewise, suppliers are concerned with the problem of slow sales, the buyers’ concern being the culprit. For suppliers, time is money. Additionally we are scaling into other products such as real-estate and video CVs.
Our new software (SAVE - Supervised Automatic Video Editor) will provide a quick and easy way for dealers to move product more efficiently and customers to have access to more accurate and detailed information on the products they want to purchase. We can acquire a lot of suppliers because they can generate content easily through our product. Suppliers shoot videos with a verbal explanation. SAVE then edits and supervises the content with its own algorithm. Buyers watch the video and purchase the product. We’re using Machine Learning, big data, and AI to achieve this. We identify items, check audio, and edit video. This makes the purchasing process more transparent. 
Most current used-car sales platforms only use images and text. The few used car dealers who provide video lack in quality and are manually uploaded to youtube, which is a very slow and costly process. Our AI-based applications include images, text, and video to give buyers more accurate information on the product.",,"We are the first video commerce car sales platform, combines images and videos to pioneer as a reliable source in the used car market.",Artificial Intelligence Automotive E-commerce Media Mobile Platform Real Estate,https://e27.co/startups/cid-auto
124,"Putra Fajar Hasanuddin,Joe Handaya,ardy satria hasanuddin,Yahya Kus Handoyo,Joe Handaya,ardy satria hasanuddin,Yahya Kus Handoyo,ardy satria hasanuddin,Yahya Kus Handoyo,Yahya Kus Handoyo,Yahya Kus Handoyo,Yahya Kus Handoyo",Kabar Games,https://www.kabargames.id,,,January 2017,Indonesia,"Kabar Games is one of the largest independent publication in Indonesia dedicated to the gaming world ecosystem. Every month, we influence an audience of 10 million gaming enthusiasts from teenagers, millennials, and professionals.

Our team is a diverse coalition of digital savvy, web developers, and expert writers who have come together under a united passion: a love of gaming technology and the determination to deliver top-notch content.

We aim to become the #1 engagement platform for gaming and esports in Indonesia by 2021. If you don't want to lose the opportunity to invest in the most promising gaming startup in Indonesia, Ping us at letstalk@gudangpelangi.co.id",,Kabar Games is one of the largest independent publication in Indonesia dedicated to the gaming world ecosystem.,Gaming Information & Communications Technology Media,https://e27.co/startups/kabar-games
125,Hamza Sheraz,SeeBiz,https://www.seebiz.com/,,,April 2018,United States of America,Build your business connections stronger using our interactive networking platform designed especially with e-commerce in mind.,,"SeeBiz’s inventory management features allow users to add, update, and keep track of their complete inventory.",California,https://e27.co/startups/seebiz
126,,Anchanto Pte. Ltd,http://www.anchanto.com/,,,Not Specified,Singapore,"Anchanto is revolutionizing the way eCommerce business are built and scaled in the SE Asia region. Whether a 100 days old eCommerce business run from apartment or 150 years old Fashion Brand, we help them offload inventory at our distribution center, pick and pack their orders and deliver it to customer doorstep in most systematic and efficient way. Our mission is to be the biggest e-commerce fulfillment platform in the South East Asia. We are a technology company redefining the eCommerce logistics.

For more details log in to:

http://www.anchanto.com/",,"Anchanto is a global company enabling Multi-Channel Selling and eCommerce Logistics with offices in Malaysia, Singapore, Indonesia, India and Philippines.",E-commerce Software as a Service,https://e27.co/startups/anchanto-pte-ltd
127,"Alex Tay,Naveen Le,Naveen Le",ZeusX,https://www.zeusx.com/,,,June 2019,Singapore,"Zeus eXchange (ZeusX) is a digital marketplace for gamers all over the world - enabling them to buy and sell gaming assets like accounts, in-game items, top-ups, services, gift cards and collectibles. 

We focus heavily on Mobile Gaming, Esports and Gaming Gigs/Services, and differentiate by being hyper-personalized and community integrated with gaming tools and ecosystems.

In a heavily segmented landscape, with no true one-stop-shop portal that gamers go - we aim to be that ultimate destination. Through living our purpose - To Create a Better Life for Gamers Everywhere - we strongly believe that we can build the most well-known gamer's marketplace in the world as a result, with the following area of focus:

   1. Make it really easy for gamers to find gaming stuff that bring them joy
   2. Support gamers to make a better living from their passion and skills
   3. Elevating gaming into a lifestyle that we can be fiercely proud of

Company Mile-stones:
   1. Nov 2019 - Secured S$400K funding (angel/pre-seed)
   2. Mar 2020 - CTO onboarded
   3. 19th Mar - Live MVP v1.0 launched to market",,"Zeus eXchange (ZeusX) is a digital marketplace for gamers all over the world - enabling them to buy and sell gaming assets like accounts, in-game items, top-ups, services, gift cards and collectibles!",E-commerce Gaming,https://e27.co/startups/zeusx
128,Dimas Adika Bimawan,RuangLaptop,https://ruanglaptop.com,,,October 2015,Indonesia,"Didirikan tahun 2015, RuangLaptop merupakan website berisi konten seputar perkembangan teknologi, pc, laptop, game, aplikasi, dan smartphone terbaru.

Artikel di website ini ditulis berdasarkan riset dari sumber terpercaya, sesuai dengan etika menulis yang baik, serta telah melalui tahapan pengeditan yang ketat.",,"Situs teknologi nomor 1 di Indonesia yang berisi konten seputar pc, gadget, laptop, game dan teknologi terbaru.",Media Advertising Gaming,https://e27.co/startups/ruanglaptop
129,"Robin Nguyen,Silvia Buonpadre,Silvia Buonpadre",IBI Global,http://ibi-global.com/,,,June 2013,Vietnam,"IBI Global is the lead partner in online English at work and Innovation coach based on the blended eLearning solution that completely replaces classroom training for corporations, startups and institutions.

We strongly believe that most companies are in need of an entrepreneurial mindset to help them innovate. During our innovation projects we focus on corporate innovation, giving you the skills, confidence, and support to drive and influence change in your organization.

Established by experienced and talented technologists, experts and mentors, IBI Global has been coaching different multi-national companies for many years. Throughout this experience, we have found that there are three major barriers when it comes to optimize talents' competence and innovation development.

Barrier 1: Most communication failure in multi-national companies is due to the lack of English proficiency and fluency. 
 
Barrier 2: One of the main reasons why a training program fails is because it's hard to find the quality learning model that brings work - learn - life balance.
 
Barrier 3: Many believe that the key success of innovation is technology but it's not. It's culture and diversity! However, companies and organizations today encounter with finding the learning model that could bring expertise from different cultures into the training cost-effectively.

The founding team, with enthusiastic determination and passion, successfully integrated new effective technologies in teaching and learning based on the harmonious combination between innovation pedagogy and emerging technology, to create the online learning platform that achieves a good balance within group learning and real time discussion, self-study and interactive learning that is believed helping talents break the mentioned barriers.",,Blended eLearning Solution to Online English at Work and Innovation Coach,Education,https://e27.co/startups/international-bilingual-institue
130,"Mun Choong Lam,Anas Semesmieh,SelfDrvn Enterprise,Prashant Kumar,Anas Semesmieh,SelfDrvn Enterprise,Prashant Kumar,SelfDrvn Enterprise,Prashant Kumar,Prashant Kumar,Prashant Kumar,Prashant Kumar",Selfdrvn Enterprise,http://www.selfdrvn.com,,,June 2015,Singapore,"SelfDrvn provides an integrated, proven talent experience, blended learning cloud platform, and coaching for the employee’s journey across different roles function. The solution will support role-based access, skills learning, organizational hierarchies, various groups, and coaching operational procedures for employees. The solution feature includes bite-sized learning contents, track learning completion, issue learning, actual application assessment at the workplace, real-time feedback, on the job performance challenges, quest, quiz, automate rewards, and recognition. The learner can also access our platform by web and mobile application and engage with actual hotel facilities, with subject matter experts and fellow learners.

SelfDrvn solution will help to improve employee performance by providing learning real-time, all contents will be stored at one location, offers unlimited access to learning materials, easily tracks learner progress and learner application at the workplace, reduces the learning cost and time and this will integrate with the social learning experience as well.

SelfDrvn has been trusted by global and regional financial institutions, telco and professional services companies to improve talent engagement, and we have been featured as an innovative Employee Experience Tech in the Gartner Hype Cycle for Digital Workplace and Human Capital Management in 2018 and 2019.",,"Selfdrvn provides cloud-based Employee Engagement Platform with mobile technology, gamification and big data analytics.",Agency & Consulting Big Data Information & Communications Technology Mobile Software as a Service,https://e27.co/startups/selfdrvn-enterprise
131,"Drew Bailey,Shelly Green,Shelly Green",Autofun.co.id,https://www.autofun.co.id/,,,March 2020,Indonesia,"Autofun.co.id is a one-stop automotive site in indonesia that provides car news, reviews, with tools to help you compare different models. All you need to find your next perfect car is here.",,Love cars just come with us!,Automotive Consumer,https://e27.co/startups/autofun-co-id
132,"Rony J Palathinkal,Sonali Manimaran,Sonali Manimaran",GreenArc Capital,http://www.greenarccapital.com,,,September 2017,Singapore,"GreenArc Capital's Lending Aggregation Platform (LAP) is a platform for funding Impact Lenders in Emerging Markets. The platform curates and aggregates transactions targeted at mainstream institutions and other Impact Investors.

LAP enables Institutional Investors to:
- Evaluate Impact Investment opportunities across a wide range of alternative loan origination platforms (LML) and Microfinance Lenders (MFL)

- Facilitate these investments via private security offerings so the investors may subscribe to these easily in their respective markets (US & EU)

- Monitor investments with portfolio management tools that help streamline risk monitoring, financial performance, and automate reporting

- Track and assess the Impact Performance of their investment 

For Financial Institutions, LAP provides an opportunity to deploy balance sheet capital and finance Impact Enterprises at scale in their chosen Emerging Markets",,GreenArc Capital is an AI driven impact investment firm dedicated to fostering sustainable growth and inclusive finance through scalable credit solutions in select emerging markets.,Artificial Intelligence Finance Platform,https://e27.co/startups/greenarc-capital
133,Angelo Rivera,Pertana,http://pertana.com,,,March 2020,Philippines,"Pertana is an enterprise software company with a goal of elevating business performance through integration, analytics, and learning. We aspire a world of paperless transactions with seamless and secure exchange of electronic data.

Designed for small to medium-scale businesses, we offer a cloud-based platform that optimizes the financial management process using our multifunctional business applications combined with top-tier services from a marketplace of qualified accountants.",,Pertana offers a cloud-based platform for SMEs with feature-rich business apps and hassle-free marketplace of accountants.,Software as a Service Finance,https://e27.co/startups/pertana
134,,Bukukas,https://www.bukukas.co.id/,,,January 2019,Indonesia,"BukuKas is a neo-banking venture aimed at bringing unbanked in South-East Asian countries to the banking eco-system. Starting with the BukuKas app in Indonesia, which is aimed at helping the micro and small enterprises in their cash management, will pave inroads to additional financial services in the future.
BukuKas app digitized the physical record keeping books by enabling micro and small enterprises to record their sales, expense and cash transactions at ease using their smart phone. The free app helps micro and small business owners to simplify cash management and help them grow their profits faster. 

Using the app, business owners can easily track overall business performance and analyze financial trends. It also gives instant visibility to the company’s cash/credit situation at any point in time and help in managing credit, using business dashboards and payment reminders to customers owing money",,BukuKas is a neo-banking venture aimed at bringing unbanked in South-East Asian countries to the banking eco-system.,,https://e27.co/startups/bukukas
135,"Nithima,Prapagorn Saethan,William Sandin,Peter Macquart-Moulin,Bonné Phuangphet,Prapagorn Saethan,William Sandin,Peter Macquart-Moulin,Bonné Phuangphet,William Sandin,Peter Macquart-Moulin,Bonné Phuangphet,Peter Macquart-Moulin,Bonné Phuangphet,Peter Macquart-Moulin,Bonné Phuangphet,Peter Macquart-Moulin,Bonné Phuangphet",Yesmom,https://yesmomfertility.com,,,January 2017,Thailand,"Yesmom makes accurate health information more accessible with at-home testing kits and personalised insights. 

We deliver personalised health insights for women about their health and fertility through a hormone blood test that they can take at home. We are also developing a wide range of home diagnostic testing kits to further support telemedicine and remote access.",,Yesmom makes accurate health information more accessible with at-home testing kits and personalised insights,Healthtech Medtech Biotech,https://e27.co/startups/yesmom
136,"Siddhartha,Jose Sampedro Mazon,Jose Sampedro Mazon",inPact,https://www.inPact.ai,,,March 2020,Singapore,"inPact converts contracts into structured, easily analysable data sets, and delivers them on a state-of the art data analytics platform that integrates with other systems of record across the company (ERP, CRM, etc.) to unearth unprecedented insights empowered with pre-programmed business analyses for every department in the organization, from finance to operations.",,inPact is a business intelligence enterprise software solution leveraging AI-powered contract analytics to unlock unprecedented insights that help companies make better management decisions.,Enterprise Solution Software as a Service Finance Artificial Intelligence,https://e27.co/startups/inpact-ai
137,"Jessica Kwan,James (Hyung Woo) Kim,Chye Poh Chua,Wilson Ko,James (Hyung Woo) Kim,Chye Poh Chua,Wilson Ko,Chye Poh Chua,Wilson Ko,Wilson Ko,Wilson Ko,Wilson Ko",ShipsFocus Services Pte Ltd,https://www.shipsfocus.com,,,June 2016,Singapore,"The maritime industry is facing a crisis in its transformation. There are countless of maritime innovation initiatives and projects, but success stories are few & far between. Even Softbank $1b funded FLEXPORT gave in as a platform and became a competitive digital freight forwarder. Expertise, experience, entrepreneurship, funding, and ecosystem are all searching for the secret sauce to bring disruptive technology effectively into the maritime industry. 

We started in April 2016, aspiring & researching to overcome the innovation & adoption conundrum. Our efforts have paid off. Today, we have built a well-designed model with many applications & solutions that allow us to work closely with world’s innovators, corporates, port & shipping operations, policy makers and investors to create and deliver real value.

Maritime shipping is the most competitive mode of transportation as its cost is only 5% of trade value. But it being an analogue industry in a digital world, maritime shipping suffers from: 1. hyper-competition 2. low visibility 3. increasing regulatory changes and 4. a complex nature that hinders its digitization.

Our venture studio specifically addresses the innovation & adoption conundrum. Besides offering a virtuous ecosystem of domain expertise & experience, funding, talents, corporate support and market needs; it has a rare combination of interest, commitment and drive to carry out change. It is such a rarity that powers us to success. 

We start with an idea and ideation, which could come from the corporate, a startup, or ourselves. We then seed-fund and focus on building the solution and a business model. Taking it from 0 to 1, we then incorporate and roll out 2 to 4 high-value and largely de-risked ventures yearly for funding and scaling.",,ShipsFocus is a dedicated maritime venture studio designed to address the innovation & adoption conundrum that plagues innovators and adoption of new tech applications in maritime commerce.,Maritime Marketplace Software as a Service Transportation Information & Communications Technology Artificial Intelligence Big Data Agency & Consulting Chemical Logistics/Supply Chain Platform Productivity & CRM,https://e27.co/startups/shipsfocus-services-pte-ltd
138,"Vincent Yang ,Cheng Hua Hsu,蔡長志 Eric Tsai,Jack Huang,Cheng Hua Hsu,蔡長志 Eric Tsai,Jack Huang,蔡長志 Eric Tsai,Jack Huang,Jack Huang,Jack Huang,Jack Huang",Aegis Custody,https://www.aegiscustody.com/,,,October 2018,Hong Kong,"Aegis Custody’s hybrid hardware-cloud solution provides security for crypto assets on blockchain through multi-signature wallets corresponding to internal process of the enterprise, secured by a unique combination of proprietary hardware, cloud services, workflow, cold storage, and service centers with transaction workflows. The overall architecture is highly optimized, divided into separate functions, including off-chain and on-chain, and managed by a highly trained professional operations team globally.",,"At Aegis, we use Knowledge and Blockchain Technology to Build Trust in Financial industry and bridge the Gap between Traditional and Digital Asset Ownership.",Blockchain Finance Platform,https://e27.co/startups/aegis.custody
139,WPWeb,WPWEB,https://wpwebelite.com/,,,January 2011,India,"WPWEB is the leading WordPress Plugin Development & Plugin Selling Company in India. At WPWeb, we build & sell WordPress Plugins, Easy Digital Downloads (EDD) Extensions, WooCommerce Extensions, WP E-Commerce Extensions and much more. Just find lucrative web solutions with WPWeb.

We are elite author seller in Code Canyon. 
https://codecanyon.net/user/wpweb 

We are one of the top 8 trusted consultants of Easy Digital Downloads. 
https://easydigitaldownloads.com/consultants/

To know more about this company & services, visit wepwebelite.com",,"WPWEB is the leading WordPress Plugin Development & Plugin Selling Company in India. At WPWeb, we build & sell WordPress Plugins, Easy Digital Downloads (EDD), WooCommerce Extensions and much more.",Information & Communications Technology Software as a Service,https://e27.co/startups/wpweb
140,Alex Dulub,PixelPlex,https://pixelplex.io,,,January 2007,United States of America,"PixelPlex is a software development company with a talented team of developers. We deliver state-of-the-art solutions in such disruptive technologies as Blockchain, Artificial Intelligence, Internet of Things, AR/VR as well as undertake projects of any complexity in Web, Mobile and Game Development.
We offer a wide range of information technology services from development to consulting and address the business needs of organizations of any size and primary field of activity whether it’s education, retail, finance, healthcare or real estate, advertising, gaming industry and more.
PixelPlex expertise in diversified technology stack makes us a great partner for innovative startups and Fortune 500 companies, for which we have already delivered over 300 end-to-end custom platforms and applications.",,Software and blockchain development company,Blockchain Artificial Intelligence Internet of Things Augmented Reality Virtual Reality Gaming Mobile Software as a Service,https://e27.co/startups/pixelplex
141,Pranav Upadhyaya,MoneyGuides,https://moneyguides.in/,,,June 2020,India,"If you’re looking for a financial advisor near your location to help you achieve and maintain financial independence, we are here to help. Our experienced team of professionals with diverse backgrounds takes pride in assisting our clients with their Financial Management needs. We deliver technical competency, empathy for clients, multi-generational planning, and customized services in the areas of investment management, financial planning, and tax all within a culture of compliance. Moneyguides have come to a mission exclusively assisting our Financial Partner’s plan the Right Financial Planning for the people efficiently to maintain and implement investment strategy that meets their lifetime financial goals at this digital age.",,Looking for a financial advisor? Our team of experienced financial advisors will assist you with all your financial questions.,Finance,https://e27.co/startups/moneyguides
142,"Ken Yung,Won Kyung Paik,Won Kyung Paik",GoByBus.hk,https://www.gobybus.hk,,,June 2017,Hong Kong,"When it comes to flight booking, we have Skyscanner; hotel reservation, we have HotelsCombined; train ticketing, we have MTR or 12306 in China. Yet we do not have one for Cross Boundary Coach Services – until we have GoByBus.

Contrary to the airports or railway stations which have a fix and permanent location for boarding, the coach stations are rather scattered, usually hided in the inconspicuous corner of back lanes, with the destination and schedule information dispersed among the respective operators, and the trip details unpublished unless you ask for it. Not less surprisingly, the industry is still heavily rely on manpower for the physical paper ticket selling and inspection, as well as leading passengers from the ticket office to the right place to board.

We are aiming to be the best choice for booking intercity coaches, providing an end-to-end solution of bus information, ticketing, and boarding services that are comparable to the experience in taking flight. We help the passengers to explore more alternatives than the East Rail which are also more convenience given its point-to-point nature; we bring additional revenues to the operators by a new distribution channel, expand the target customer to existing passengers in other transportation modes and foreign travelers, and save the costly rental and staff expense for operating the ticket offices; we create values to our city by utilizing the capacity of vehicles on road and encouraging the rationalization of schedule and resources by the operators.",,"GoByBus is Hong Kong’s first intercity coach platform. We help you to check the schedule of all coaches between Hong Kong and China; you can pay for your tickets online, and get on board with QR code.",E-commerce Smart Cities Agency & Consulting Transportation Travel,https://e27.co/startups/GoByBus-hk
143,SaiKit Ng,Sorabel,https://www.sorabel.com/,,,January 2014,Indonesia,"Our mission is to serve the everyday Indonesian woman, in her every fashion lifestyle need, everywhere in Indonesia. So she can feel more confident, happy and beautiful. This is our way of bettering the world.

Our goal is to be #1 in Fashion Lifestyle. To get there, we must not only serve those who have, like wealthy socialites living in Jakarta; but also those who do not have, like the majority of women living in areas with little to no modern retail. They do not have affordable access to the latest fashions.

We engage and serve millions of sistas every month, and make a significant impact on our country. What we stand for is everything and you will be a key part of that.",,"Our mission is to serve the everyday Indonesian woman, in her every fashion lifestyle need, everywhere in Indonesia. So she can feel more confident, happy and beautiful.",E-commerce,https://e27.co/startups/sorabel
144,"Daren Guo,Kevin Kang,Kevin Kang",Reap,https://reap.global,,,June 2018,Hong Kong,"Reap is a financial technology company dedicated to upgrading small businesses’ capabilities. We deliver corporate payment solutions to improve the way small businesses operate today and prepare them for the challenges of tomorrow. Reap’s online payments platform enables small businesses to pay expenses and collect revenue – to and from anyone, anywhere – entirely via credit card. The company has revolutionised the way businesses manage cash flow, leveraging credit cards to smooth cash flow and increase capital efficiency by digitising day-to-day finances and transactions. As strong advocates of small to medium-sized businesses, Reap has brought core business processes online – regardless of business size. Reap continues to innovate, advancing technology and building better tools for small business financing, transactions, data, automation and more.",,"Reap’s online payments platform enables small businesses to pay expenses and collect revenue – anyone, anywhere – entirely via credit card",Enterprise Solution Finance,https://e27.co/startups/reap
145,Dhruv Patel,INEXTURE Solutions LLP,https://www.inexture.com/,,,February 2014,India,"INEXTURE was established in 2014, with a vision to cater something exclusive to our clients by using cutting-edge technologies. We consecutively achieved the 100% target since inception on the pillar of “Quality deliveries and the best services“ with our hard work, transparency, honesty and best work ethics.

Inexture is known for providing its customers with high-quality web development and designing services, Phone apps development, Android apps development, Windows Phone development, IT Consulting, Cloud services, Liferay Consulting, mobile games and many more.

Our comprehensive knowledge and expertise includes but not limited to Service Oriented Architecture, Open Source Portal Consulting, Enterprise Content Management, Business Intelligence, Big Data, Enterprise Portals, E-Commerce and Cloud Computing.

Expertise:
1. Liferay Portal Development
2. Java Development Services
3. Mobile Application Design & Development
4. Ecommerce Development
5. Python Consulting Services Services
6. SAP-Hybris Consultant
7. UI/UX Development

At Inexture Solutions LLP, our mission is to be the partner of choice for our customers by helping them achieving their business goals with simple & effective solutions through state-of-the-art technology, innovation and reliability.",,"Inexture Solutions LLP is established with the aim of providing businesses creative, scalable and futuristic solutions. Inexture is known for providing its customers with high-quality web development",Software as a Service,https://e27.co/startups/inexture-solutions-llp
146,,LowCards,http://www.lowcards.com,,,January 2001,United States of America,"With a large number of credit card companies in the market, it becomes difficult for the consumers to decide on which is the best for them. Every individual is looking for credit cards that provide easy shopping and meet their needs efficiently. 
LowCards is a leading online name that simplifies the process and helps you find the best credit card. With over years of experience, we have researched over thousand different credit card companies and are aware of the different services provided by each of them. Our objective is to compare credit cards, eliminate the confusion and provide you with the best credit card. We provide you with the list of top credit cards and also unbiased reviews about each card. 
Moreover, our online site allows you to search card by type such as low interest cards, cash back credit cards, business credit cards etc. For instance, if you are a student and looking for credit that provides student benefits like some of the student credit cards provide rewards on daily purchases. Then, you can easily search the type student credit cards and you will get the best options available for you. So, if you are looking for the ideal credit card options for you, then LowCards is the best comparison sites.",,LowCards is a leading online name that simplifies the process and helps you find the best credit card.,Finance,https://e27.co/startups/lowcards
147,"James (Hyung Woo) Kim,Justin Chua,Chye Poh Chua,Wilson Ko,Justin Chua,Chye Poh Chua,Wilson Ko,Chye Poh Chua,Wilson Ko,Wilson Ko,Wilson Ko,Wilson Ko",e-Port Agency Pte Ltd,https://eport.agency/,,,January 2020,Singapore,"A stitch in time saves nine. e-Port Agency stitch in real-time so more costs are saved all the time.

e-Port Agency provides maritime carriers and other port stakeholders a transition from an analogue to a digital operating system, enabling real-time capture, flow & access to data. More timely decision-makings are now made to save more cost & produce better bottom line.

Excluding passenger ships that make over 2 million port calls a year, shipping agents represent carriers of over 80,000 cargo ships that make other 2 million port calls that incur an average of $25,000 each call annually. 

Majority of ship-agencies are MSMEs who have local knowledge but are saddled with a non-tech mindset and inability to transform; while the few larger & global agencies resist disrupting their own current models. e-Port Agency brings new value-creation in a rapidly digitized world.

e-Port Agency has gone through 3 years of R&D, and developed a successful model with commercial traction under ShipsFocus venture studio. e-Port Agency is ready to scale and seeking smart investors who can add value besides providing funding.",,Ships in port rely on shipping agents for their efficient operations. e-Port Agency offers a digital operating system instead of an analogue one that all stakeholders had to rely on.,Maritime Agency & Consulting Big Data Artificial Intelligence Information & Communications Technology,https://e27.co/startups/e-port-agency-pte-ltd
148,Reyasat Chowdhury,Shuttle,http://www.shuttlebd.com/,,,April 2018,Bangladesh,"Shuttle is a mass-transit startup that provides safe transportation at an affordable price by moving more people with fewer vehicles with the help of technology and primarily focuses on solving the transportation problem for women in Bangladesh.  We provide the service in air-conditioned mini-vans where 10-11 people can commute together by paying less than one-fourth of the fare of Uber Cars. 
Shuttle runs of specific routes with specific pick-up points and maintains a fixed schedule. We are a platform that caters to both B2B and B2C customers. Using data, we project demand and design the most efficient routes possible to ensure a smooth experience for our customers. Since Jan'19, we have a monthly compounded revenue growth rate of 17.5%. 
Even though we started out primarily for women in Bangladesh, we envision to redefine public transportation for mass people in developing countries by doing for buses what Uber did for taxis.",,Shuttle is a mass transit startup that provides safe transportation at an affordable price by moving more people with fewer vehicles and primarily focuses on women in Bangladesh.,,https://e27.co/startups/shuttle
149,"Nyit Fung  Chai,Ben Ho,Ben Ho",GigMalaysia,https://www.gigmalaysia.com,,,May 2020,Malaysia,"Digital marketplace designed for freelancers in Malaysia. We are on a mission to improve the economic growth in the nation. We believe working remotely is a new norm, as well as a rising opportunity to earn for living and career-growth.",,Digital gig marketplace for freelancers in Malaysia,Marketplace Human Resources Software as a Service,https://e27.co/startups/gigmalaysia
150,,Aruna,http://aruna.id/,,,January 2015,Indonesia,"To Lead The Digital Revolution in The World Fishery Industry.

Aruna initiated by their concern for the condition of keluatan and fisheries in Indonesia today. And with their expertise in the field of information technology, they believe they can contribute to solving the problem and rebuild the Indonesian maritime glory.

Their mission is to lead the digital revolution in the field of marine and fisheries. They are confident with the resources and technology they have, they can bring the marine and fisheries Indonesia to a higher level again. Bring equitable and fair prosperity for the entire community.",,The Leader On Fishery Integrated Platform. To Lead The Digital Revolution in The World Fishery Industry.,Agritech,https://e27.co/startups/aruna
151,Beatrice So,Ventii Eats,https://www.ventiieats.com/,,,May 2020,Philippines,"Ventii Eats  is an online food platform, we provide home chefs and bakers the perfect avenue to share their dishes to every Filipino. By linking our merchants to the rest of the community, we hope to provide some stable income amid unpredictable circumstances. Our platform offers features such as order forms, payment, and delivery straight from our merchants.",,Ventii redefines the process of buy-and-sell in the home-cooking community. We connect you to our trusted partners--letting you satisfy your daily cravings in just one click.,Marketplace Information & Communications Technology Food & Beverage,https://e27.co/startups/ventii-eats
